"MEUD.MI.Open","MEUD.MI.High","MEUD.MI.Low","MEUD.MI.Close","MEUD.MI.Volume","MEUD.MI.Adjusted","Date"
246.550003051758,246.949996948242,245.199996948242,246.149993896484,13437,246.149993896484,2025-04-25
247.350006103516,248.100006103516,246.850006103516,247.449996948242,9305,247.449996948242,2025-04-28
248,248.649993896484,247.449996948242,248.350006103516,19087,248.350006103516,2025-04-29
249.699996948242,249.800003051758,246.899993896484,249.649993896484,35294,249.649993896484,2025-04-30
252.100006103516,254.199996948242,251.649993896484,254.100006103516,31761,254.100006103516,2025-05-02
254.25,255.149993896484,253.800003051758,254.949996948242,16229,254.949996948242,2025-05-05
255.25,255.300003051758,252.649993896484,254.399993896484,9869,254.399993896484,2025-05-06
253.699996948242,253.899993896484,252.699996948242,253.149993896484,12247,253.149993896484,2025-05-07
254.149993896484,255.600006103516,253.550003051758,254.350006103516,21136,254.350006103516,2025-05-08
255.25,255.899993896484,254.949996948242,255.449996948242,11425,255.449996948242,2025-05-09
258,258.850006103516,256.75,258.850006103516,15138,258.850006103516,2025-05-12
259,259.600006103516,258.850006103516,259,7723,259,2025-05-13
259.25,259.450012207031,257.899993896484,258.600006103516,8274,258.600006103516,2025-05-14
257.899993896484,260.25,257.399993896484,260.25,12403,260.25,2025-05-15
261.600006103516,262.200012207031,260.350006103516,261.450012207031,8827,261.450012207031,2025-05-16
261.350006103516,262.25,259.950012207031,262.25,6807,262.25,2025-05-19
262.75,264.649993896484,262.450012207031,264.299987792969,11255,264.299987792969,2025-05-20
263.850006103516,264.350006103516,262.5,264.200012207031,17852,264.200012207031,2025-05-21
263.149993896484,263.149993896484,260.899993896484,262.350006103516,9335,262.350006103516,2025-05-22
263.200012207031,263.549987792969,256.5,260.149993896484,13172,260.149993896484,2025-05-23
263.299987792969,263.549987792969,262.600006103516,263.399993896484,23420,263.399993896484,2025-05-26
263.450012207031,264.600006103516,263.049987792969,263.700012207031,10196,263.700012207031,2025-05-27
263.950012207031,264.149993896484,262.049987792969,262.049987792969,11300,262.049987792969,2025-05-28
263.899993896484,263.950012207031,261.450012207031,261.549987792969,8661,261.549987792969,2025-05-29
262.100006103516,263.549987792969,261.5,262.149993896484,5608,262.149993896484,2025-05-30
261.850006103516,262.100006103516,260.100006103516,261.799987792969,7829,261.799987792969,2025-06-02
