"XGLE.MI.Open","XGLE.MI.High","XGLE.MI.Low","XGLE.MI.Close","XGLE.MI.Volume","XGLE.MI.Adjusted","Date"
257.269989013672,257.269989013672,256.329986572266,256.790008544922,2849,256.790008544922,2021-01-29
257,257,256.630004882812,256.739990234375,1643,256.739990234375,2021-02-01
256.529998779297,257,255.960006713867,256.170013427734,2098,256.170013427734,2021-02-02
256.549987792969,256.630004882812,256.029998779297,256.029998779297,2914,256.029998779297,2021-02-03
255.970001220703,256.390014648438,255.970001220703,256.149993896484,1733,256.149993896484,2021-02-04
256.390014648438,256.459991455078,255.460006713867,255.970001220703,3543,255.970001220703,2021-02-05
255.929992675781,256.200012207031,255.550003051758,256.200012207031,1979,256.200012207031,2021-02-08
256.239990234375,256.269989013672,255.75,256.25,1894,256.25,2021-02-09
256.049987792969,256.220001220703,255.729995727539,255.949996948242,1957,255.949996948242,2021-02-10
256.239990234375,256.390014648438,256.070007324219,256.290008544922,3362,256.290008544922,2021-02-11
256.390014648438,256.5,255.539993286133,255.619995117188,1754,255.619995117188,2021-02-12
254.850006103516,255.110000610352,254.589996337891,254.589996337891,1650,254.589996337891,2021-02-15
254.779998779297,254.919998168945,254.119995117188,254.119995117188,2684,254.119995117188,2021-02-16
253.899993896484,254.119995117188,253.460006713867,254.020004272461,3882,254.020004272461,2021-02-17
254.039993286133,254.110000610352,252.929992675781,253.050003051758,2401,253.050003051758,2021-02-18
252.880004882812,253.009994506836,252.699996948242,252.830001831055,1940,252.830001831055,2021-02-19
252.580001831055,253.639999389648,252.149993896484,253.539993286133,1981,253.539993286133,2021-02-22
253.449996948242,253.449996948242,252.190002441406,252.710006713867,2718,252.710006713867,2021-02-23
252.949996948242,252.949996948242,251.759994506836,252.240005493164,1417,252.240005493164,2021-02-24
251.449996948242,251.559997558594,250.809997558594,250.809997558594,2513,250.809997558594,2021-02-25
251.369995117188,252.050003051758,251.339996337891,251.729995727539,1515,251.729995727539,2021-02-26
252.880004882812,253.600006103516,252.789993286133,253.369995117188,14549,253.369995117188,2021-03-01
253.960006713867,253.960006713867,252.559997558594,253.309997558594,2834,253.309997558594,2021-03-02
253.479995727539,253.479995727539,252,252.130004882812,3150,252.130004882812,2021-03-03
252.460006713867,252.559997558594,252.070007324219,252.289993286133,2033,252.289993286133,2021-03-04
251.949996948242,252.240005493164,251.699996948242,252.009994506836,1620,252.009994506836,2021-03-05
252.139999389648,252.259994506836,251.770004272461,251.910003662109,940,251.910003662109,2021-03-08
252.350006103516,253.070007324219,252.179992675781,252.589996337891,1313,252.589996337891,2021-03-09
252.479995727539,252.740005493164,252.309997558594,252.520004272461,2179,252.520004272461,2021-03-10
253.259994506836,254.110000610352,252.809997558594,253.300003051758,1969,253.300003051758,2021-03-11
253.169998168945,253.240005493164,252.550003051758,252.699996948242,4958,252.699996948242,2021-03-12
253.139999389648,253.320007324219,252.710006713867,253.100006103516,3263,253.100006103516,2021-03-15
